v001_id,exp_avg,neu_avg,att_avg,ka_avg,wom_avg,innp_avg,imp_avg,hedo_avg,sho1_avg,v023_rand,v108_sex
344,-0.142857142857143,-1.66666666666667,-1.6,-1.5,-2.33333333333333,-1.33333333333333,-1,-1,-2,1,weiblich
466,0.714285714285714,2,1,1.16666666666667,1,-0.666666666666667,-1,-0.75,-0.5,1,männlich
182,0.428571428571429,2,2,2.33333333333333,0.333333333333333,-1.5,-1,1.25,-0.75,1,weiblich
4,1.42857142857143,2,1.4,1.66666666666667,0.333333333333333,1.16666666666667,-0.25,1.75,-0.75,1,männlich
221,0.857142857142857,2.33333333333333,1.2,1.5,0.666666666666667,0.166666666666667,0.75,1.75,0,1,weiblich
688,0.285714285714286,0.666666666666667,1.2,0.5,0,-1.16666666666667,-0.75,1.25,2,1,weiblich
527,1.57142857142857,1,1.6,0.833333333333333,0.666666666666667,-1,-1.25,0.25,-1.75,1,männlich
412,,,,,,,,,,1,
429,1.28571428571429,2,2,2.5,0.333333333333333,1.16666666666667,1.5,3,0.75,1,weiblich
416,-0.142857142857143,-0.333333333333333,-0.6,-1.33333333333333,-1,-1,-2,1.5,0.5,1,weiblich
724,2.42857142857143,2.33333333333333,2.2,2.16666666666667,1,2,1.5,2.25,2.75,1,weiblich
475,1.28571428571429,2,1.8,1.16666666666667,0,-0.166666666666667,0,1,-0.25,1,weiblich
570,0.285714285714286,1.33333333333333,0.8,1.33333333333333,0.333333333333333,-1,-0.75,0.5,-1.5,1,männlich
82,,,,,,,,,,1,
354,-0.428571428571429,-1,-1,-0.166666666666667,0,-1.83333333333333,-0.25,0,-1.25,1,weiblich
575,1.57142857142857,3,2.4,2,1,0.166666666666667,0.5,-2.75,-3,1,männlich
27,1.85714285714286,2,1.6,1.83333333333333,-1.66666666666667,1,-1,0.25,-2.25,1,weiblich
542,0,0.666666666666667,0.4,1.16666666666667,-0.333333333333333,-1.5,-1.25,-2,-2,1,weiblich
771,2.42857142857143,2.33333333333333,2.2,2.16666666666667,0.333333333333333,2.33333333333333,1.5,2.75,2.5,1,weiblich
585,0,1,1,1,0.666666666666667,-0.333333333333333,0.25,-2,-2.5,1,männlich
270,0.571428571428571,-0.333333333333333,0.2,0.333333333333333,0.666666666666667,0.333333333333333,0.5,-0.25,-1.75,1,männlich
430,1.71428571428571,2,1.2,0.666666666666667,-0.333333333333333,-2.16666666666667,-1,0.75,-1.25,1,weiblich
95,1,1.66666666666667,1.4,1.5,1.33333333333333,2,0.5,2.25,2,1,weiblich
581,1.85714285714286,2.33333333333333,1.6,1.5,,,,,,1,
459,,,,,,,,,,1,
675,0.571428571428571,0,,,,,,,,1,
56,0,0,0,0,0,0,0,0,0,1,männlich
302,,,,,,,,,,1,
156,-0.142857142857143,-0.333333333333333,,,,,,,,1,
63,-0.857142857142857,-1.33333333333333,-2,-0.666666666666667,-1.66666666666667,0,-1.25,-1.5,-3,1,männlich
700,2.28571428571429,2.66666666666667,2,1.66666666666667,2.33333333333333,-0.833333333333333,0.5,1.25,-0.75,2,weiblich
12,0,0,0,0,0,-2.16666666666667,-2.5,-3,-3,2,männlich
609,3,3,3,2.33333333333333,2.66666666666667,2.66666666666667,2.5,2.75,2,2,weiblich
488,0.142857142857143,1.33333333333333,1.2,0.666666666666667,-1,-0.333333333333333,-0.75,0.5,-0.25,2,männlich
512,,,,,,,,,,2,
73,-0.857142857142857,,,,,,,,,2,
564,2,2,2,2,2,2,1,2,0.25,2,weiblich
781,0.714285714285714,0.666666666666667,0.8,0,0.333333333333333,1.66666666666667,0.75,1,1,2,männlich
458,1.57142857142857,2.33333333333333,2.4,2.16666666666667,0.333333333333333,-1,-0.5,0.75,1,2,weiblich
549,,,,,,,,,,2,
34,1.28571428571429,1.66666666666667,,,,,,,,2,
362,1,1.33333333333333,1,1,-0.333333333333333,-0.5,-1,-0.25,-3,2,weiblich
265,1.85714285714286,2,1.8,1.66666666666667,0,-0.333333333333333,-0.25,1,-0.25,2,männlich
452,,,,,,,,,,2,
311,-1.14285714285714,-2,-2,-2,-2,-2,-2,-2,-2,2,weiblich
829,1.28571428571429,,,,,,,,,2,
157,-0.857142857142857,1,0.4,0.5,-1,-2.16666666666667,-1.25,2,0.75,2,weiblich
703,,,,,,,,,,2,
24,0,0,0,0,0,-0.666666666666667,-1,0,-0.25,2,weiblich
287,0.571428571428571,1,1,0.333333333333333,0,0.5,0.5,-0.5,0.25,2,männlich
232,,,,,,,,,,2,
298,1.71428571428571,2,1.4,0.833333333333333,0,-0.166666666666667,0,0.5,1,2,weiblich
405,0.571428571428571,2,1.8,1.83333333333333,0,-1.33333333333333,-0.75,-0.75,-3,2,männlich
22,1.71428571428571,1.66666666666667,1.6,1.33333333333333,0,1.5,1.25,1.5,0.25,2,männlich
197,1.57142857142857,2,2,1.16666666666667,,,,,,2,
231,-0.428571428571429,1,0.4,-0.666666666666667,0,-0.666666666666667,-0.75,-0.25,-1.25,2,weiblich
52,1,1,,,,,,,,2,
128,0.142857142857143,1.66666666666667,0.8,0.666666666666667,-0.333333333333333,-1.16666666666667,-0.75,0,-1.5,2,männlich
807,0.571428571428571,1,0.6,0.5,0.666666666666667,-0.5,0.25,-0.25,0,2,weiblich
433,2.14285714285714,3,2,2.16666666666667,2.33333333333333,1.16666666666667,0.75,3,-1.5,2,weiblich
163,,,,,,,,,,3,
64,0.285714285714286,0.666666666666667,0.4,0.666666666666667,1,0.333333333333333,0.5,0.25,0,3,weiblich
380,0.142857142857143,0.333333333333333,0.2,,,,,,,3,
108,0.285714285714286,0,,,,,,,,3,
126,0.428571428571429,1.33333333333333,0.8,0.5,-0.666666666666667,-1.16666666666667,0.25,0,0.25,3,weiblich
498,2,2,2,2.5,2,1,1,2,1.5,3,weiblich
77,1,0.666666666666667,1,2,1,-1.5,0.5,-0.75,-1.5,3,weiblich
491,,,,,,,,,,3,
396,1.28571428571429,3,2.2,1.5,1,0.166666666666667,0.75,2.25,1.25,3,weiblich
651,2,2.33333333333333,3,3,3,1.66666666666667,1,3,1.25,3,weiblich
241,0,0,0,0,0,0.666666666666667,0,1,-1,3,männlich
557,-0.142857142857143,-0.666666666666667,0,-0.666666666666667,-1,-0.666666666666667,-0.75,-1.25,-2.25,3,männlich
203,1.14285714285714,2,1.4,0.833333333333333,0.333333333333333,-1.66666666666667,-0.75,-2,-3,3,männlich
23,1.14285714285714,1.33333333333333,1.6,1.5,0.333333333333333,0.333333333333333,1.25,2,0.5,3,weiblich
666,-0.142857142857143,1,1.4,-0.666666666666667,-0.333333333333333,-0.5,-1.5,-2,-2.75,3,weiblich
144,1.71428571428571,3,1.8,1.83333333333333,0,-1.33333333333333,-2,-1,-1.75,3,weiblich
610,,,,,,,,,,3,
121,-0.571428571428571,,,,,,,,,3,
5,1.42857142857143,2,2,1.83333333333333,0,-1,-1.5,1.25,1,3,
725,1.57142857142857,2,2,1,0.333333333333333,0,1,1.75,-1,3,männlich
623,1.14285714285714,2.66666666666667,0.8,0.833333333333333,0.333333333333333,-0.333333333333333,0.5,1,1.75,3,weiblich
181,-0.714285714285714,3,1,1.66666666666667,0,-2.83333333333333,-2.75,-2.75,-2.5,3,weiblich
606,0.571428571428571,0.333333333333333,0.8,0.166666666666667,0.666666666666667,-0.5,-1.25,1,2,3,weiblich
373,-0.285714285714286,1.66666666666667,0,0,-0.666666666666667,-2,-0.25,0.25,-2.25,3,männlich
276,0.428571428571429,-0.333333333333333,1.2,1,-2,,,,,3,
719,-0.714285714285714,-1.66666666666667,-1.6,-1.66666666666667,-2.33333333333333,0.166666666666667,-1,-0.25,2.75,3,weiblich
615,1.71428571428571,2.33333333333333,1.8,1.5,1,0.333333333333333,0,0.25,-0.75,3,weiblich
134,0.571428571428571,0.333333333333333,2,1.83333333333333,0,-0.166666666666667,-0.5,0.25,-2.75,3,weiblich
192,,,,,,,,,,3,
640,1.57142857142857,1.33333333333333,1.8,1.33333333333333,0.666666666666667,0.833333333333333,0.5,1,0.5,3,weiblich
