id,var_label,var_names,var_type,var_class,NA_n,max_value,min_value,n_unique
1,v001,v001,,,,,,
2,v002,v002,,,,,,
3,v003,v003,,,,,,
4,v004,v004,,,,,,
5,v005,v005,,,,,,
6,v006,v006,,,,,,
7,v007,v007,,,,,,
8,v008,v008,,,,,,
9,v009,v009,,,,,,
10,v010,v010,,,,,,
11,v011,v011,,,,,,
12,v012,v012,,,,,,
13,v013,v013,,,,,,
14,v014,v014,,,,,,
15,v015,v015,,,,,,
16,v016,v016,,,,,,
17,v017,v017,,,,,,
18,v018,v018,,,,,,
19,v019,v019,,,,,,
20,v020,v020,,,,,,
21,v021,v021,,,,,,
22,v022,v022,,,,,,
23,v023,v023,,,,,,
24,v024,v024,,,,,,
25,v025,v025,,,,,,
26,v026,v026,,,,,,
27,v027,v027,,,,,,
28,v028,v028,,,,,,
29,v029,v029,,,,,,
30,v030,v030,,,,,,
31,v031,v031,,,,,,
32,v032,v032,,,,,,
33,v033,v033,,,,,,
34,v034,v034,,,,,,
35,v035,v035,,,,,,
36,v036,v036,,,,,,
37,v037,v037,,,,,,
38,v038,v038,,,,,,
39,v039,v039,,,,,,
40,v040,v040,,,,,,
41,v041,v041,,,,,,
42,v042,v042,,,,,,
43,v043,v043,,,,,,
44,v044,v044,,,,,,
45,v045,v045,,,,,,
46,v046,v046,,,,,,
47,v047,v047,,,,,,
48,v048,v048,,,,,,
49,v049,v049,,,,,,
50,v050,v050,,,,,,
51,v051,v051,,,,,,
52,v052,v052,,,,,,
53,v053,v053,,,,,,
54,v054,v054,,,,,,
55,v055,v055,,,,,,
56,v056,v056,,,,,,
57,v057,v057,,,,,,
58,v058,v058,,,,,,
59,v059,v059,,,,,,
60,v060,v060,,,,,,
61,v061,v061,,,,,,
62,v062,v062,,,,,,
63,v063,v063,,,,,,
64,v064,v064,,,,,,
65,v065,v065,,,,,,
66,v066,v066,,,,,,
67,v067,v067,,,,,,
68,v068,v068,,,,,,
69,v069,v069,,,,,,
70,v070,v070,,,,,,
71,v071,v071,,,,,,
72,v072,v072,,,,,,
73,v073,v073,,,,,,
74,v074,v074,,,,,,
75,v075,v075,,,,,,
76,v076,v076,,,,,,
77,v077,v077,,,,,,
78,v078,v078,,,,,,
79,v079,v079,,,,,,
80,v080,v080,,,,,,
81,v081,v081,,,,,,
82,v082,v082,,,,,,
83,v083,v083,,,,,,
84,v084,v084,,,,,,
85,v085,v085,,,,,,
86,v086,v086,,,,,,
87,v087,v087,,,,,,
88,v088,v088,,,,,,
89,v089,v089,,,,,,
90,v090,v090,,,,,,
91,v091,v091,,,,,,
92,v092,v092,,,,,,
93,v093,v093,,,,,,
94,v094,v094,,,,,,
95,v095,v095,,,,,,
96,v096,v096,,,,,,
97,v097,v097,,,,,,
98,v098,v098,,,,,,
99,v099,v099,,,,,,
100,v100,v100,,,,,,
101,v101,v101,,,,,,
102,v102,v102,,,,,,
103,v103,v103,,,,,,
104,v104,v104,,,,,,
105,v105,v105,,,,,,
106,v106,v106,,,,,,
107,v107,v107,,,,,,
108,v108,v108,,,,,,
109,v109,v109,,,,,,
110,v110,v110,,,,,,
111,v111,v111,,,,,,
112,v112,v112,,,,,,
113,v113,v113,,,,,,
114,v114,v114,,,,,,
115,v115,v115,,,,,,
116,v116,v116,,,,,,
117,v117,v117,,,,,,
118,v118,v118,,,,,,
119,v119,v119,,,,,,
120,v120,v120,,,,,,
121,v121,v121,,,,,,
122,v122,v122,,,,,,
123,v123,v123,,,,,,
124,v124,v124,,,,,,
125,v125,v125,,,,,,
126,v126,v126,,,,,,
127,v127,v127,,,,,,
128,v128,v128,,,,,,
129,v129,v129,,,,,,
130,v130,v130,,,,,,
131,v131,v131,,,,,,
132,v132,v132,,,,,,
133,v133,v133,,,,,,
134,v134,v134,,,,,,
135,v135,v135,,,,,,
136,v136,v136,,,,,,
137,v137,v137,,,,,,
138,v138,v138,,,,,,
139,v139,v139,,,,,,
140,v140,v140,,,,,,
141,v141,v141,,,,,,
142,v142,v142,,,,,,
143,v143,v143,,,,,,
144,v144,v144,,,,,,
145,v145,v145,,,,,,
146,v146,v146,,,,,,
147,v147,v147,,,,,,
148,v148,v148,,,,,,
149,v149,v149,,,,,,
150,v150,v150,,,,,,
151,v151,v151,,,,,,
152,v152,v152,,,,,,
153,v153,v153,,,,,,
154,v154,v154,,,,,,
155,v155,v155,,,,,,
156,v156,v156,,,,,,
157,v157,v157,,,,,,
158,v158,v158,,,,,,
159,v159,v159,,,,,,
160,v160,v160,,,,,,
161,v161,v161,,,,,,
162,v162,v162,,,,,,
163,v163,v163,,,,,,
164,v164,v164,,,,,,
165,v165,v165,,,,,,
166,v166,v166,,,,,,
167,v167,v167,,,,,,
168,v168,v168,,,,,,
169,v169,v169,,,,,,
170,v170,v170,,,,,,
171,v171,v171,,,,,,
172,v172,v172,,,,,,
173,v173,v173,,,,,,
174,v174,v174,,,,,,
175,v175,v175,,,,,,
176,v176,v176,,,,,,
177,v177,v177,,,,,,
178,v178,v178,,,,,,
179,v179,v179,,,,,,
180,v180,v180,,,,,,
181,v181,v181,,,,,,
182,v182,v182,,,,,,
183,v183,v183,,,,,,
184,v184,v184,,,,,,
185,v185,v185,,,,,,
186,v186,v186,,,,,,
187,v187,v187,,,,,,
188,v188,v188,,,,,,
189,v189,v189,,,,,,
190,v190,v190,,,,,,
191,v191,v191,,,,,,
192,v192,v192,,,,,,
193,v193,v193,,,,,,
194,v194,v194,,,,,,
195,v195,v195,,,,,,
196,v196,v196,,,,,,
